id,class
1,2
2,1
3,0
4,0
5,0
6,2
7,0
8,2
9,1
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,2
19,2
20,1
21,2
22,0
23,0
24,1
25,0
26,2
27,2
28,0
29,1
30,0
31,0
32,1
33,1
34,0
35,2
36,0
37,0
38,2
39,2
40,0
41,0
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,1
53,2
54,2
55,2
56,1
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,0
65,0
66,2
67,1
68,1
69,1
70,2
71,0
72,0
73,1
74,2
75,1
76,0
77,0
78,2
79,2
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,2
88,0
89,1
90,1
91,0
92,0
93,0
94,0
95,0
96,1
97,0
98,0
99,1
100,0
101,0
102,1
103,1
104,0
105,1
106,1
107,0
108,1
109,0
110,2
111,0
112,0
113,2
114,2
115,0
116,0
117,1
118,1
119,0
120,2
121,0
122,2
123,0
124,2
125,2
126,0
127,1
128,1
129,0
130,1
131,0
132,1
133,0
134,2
135,2
136,0
137,0
138,0
139,0
140,1
141,1
142,2
143,0
144,0
145,1
146,2
147,2
148,1
149,0
150,0
151,2
152,0
153,0
154,0
155,0
156,1
157,1
158,1
159,1
160,1
161,2
162,1
163,0
164,0
165,1
166,1
167,1
168,0
169,1
170,1
171,1
172,1
173,2
174,0
175,1
176,0
177,0
178,1
179,1
180,2
181,1
182,0
183,1
184,0
185,2
186,1
187,0
188,0
189,1
190,2
191,1
192,0
193,1
194,2
195,0
196,0
197,1
198,0
199,0
200,0
201,0
202,1
203,2
204,2
205,0
206,1
207,0
208,0
209,1
210,2
211,0
212,1
213,1
214,0
215,0
216,0
217,0
218,2
219,0
220,2
221,2
222,1
223,1
224,1
225,0
226,0
227,2
228,0
229,1
230,1
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,0
239,2
240,2
241,0
242,1
243,0
244,1
245,2
246,2
247,1
248,1
249,2
250,2
251,1
252,0
253,2
254,0
255,1
256,0
257,0
258,0
259,0
260,0
261,2
262,0
263,0
264,2
265,1
266,0
267,1
268,1
269,1
270,0
271,1
272,2
273,1
274,1
275,1
276,2
277,1
278,1
279,0
280,2
281,2
282,0
283,2
284,1
285,2
286,1
287,2
288,2
289,1
290,1
291,0
292,0
293,2
294,0
295,0
296,0
297,1
298,1
299,0
300,1
301,1
302,2
303,2
304,0
305,1
306,1
307,0
308,0
309,1
310,1
311,2
312,1
313,2
314,2
315,2
316,2
317,1
318,2
319,1
320,2
321,1
322,1
323,1
324,1
325,0
326,1
327,2
328,0
329,1
330,0
331,0
332,1
333,0
334,1
335,0
336,1
337,0
338,0
339,0
340,1
341,1
342,0
343,0
344,0
345,1
346,1
347,2
348,0
349,1
350,2
351,1
352,0
353,0
354,1
355,0
356,1
357,0
358,0
359,1
360,0
361,2
362,0
363,0
364,0
365,0
366,1
367,2
368,1
369,2
370,1
371,0
372,0
373,1
374,1
375,0
376,1
377,0
378,2
379,0
380,1
381,1
382,2
383,1
384,1
385,0
386,0
387,0
388,0
389,0
390,1
391,1
392,1
393,0
394,2
395,0
396,1
397,2
398,1
399,0
400,0
401,0
402,1
403,1
404,0
405,1
406,0
407,1
408,0
409,0
410,0
411,0
412,2
413,1
414,0
415,2
416,2
417,1
418,0
419,0
420,0
421,0
422,1
423,1
424,0
425,0
426,2
427,0
428,2
429,0
430,0
431,1
432,0
433,2
434,0
435,2
436,1
437,0
438,1
439,0
440,2
441,0
442,2
443,0
444,0
445,0
446,0
447,1
448,2
449,0
450,0
451,0
452,0
453,0
454,1
455,1
456,1
457,1
458,0
459,0
460,0
461,0
462,2
463,1
464,2
465,0
466,1
467,1
468,0
469,0
470,2
471,1
472,0
473,0
474,0
475,0
476,0
477,0
478,2
479,1
480,0
481,1
482,1
483,0
484,0
485,1
486,0
487,0
488,1
489,1
490,1
491,1
492,1
493,2
494,0
495,2
496,1
497,1
498,2
499,1
500,2
501,2
502,0
503,1
504,0
505,0
506,0
507,0
508,1
509,0
510,0
511,0
512,2
513,0
514,1
515,1
516,1
517,0
518,0
519,1
520,2
521,0
522,2
523,0
524,0
525,1
526,1
527,1
528,2
529,0
530,1
531,2
532,0
533,0
534,1
535,1
536,0
537,0
538,0
539,2
540,0
541,2
542,1
543,0
544,0
545,2
546,0
547,0
548,0
549,0
550,0
551,1
552,0
553,0
554,0
555,1
556,2
557,0
558,0
559,0
560,1
561,0
562,0
563,2
564,0
565,0
566,2
567,1
568,1
569,0
570,0
571,0
572,0
573,2
574,0
575,0
576,2
577,0
578,0
579,0
580,0
581,0
582,2
583,1
584,2
585,1
586,1
587,2
588,2
589,1
590,1
591,1
592,2
593,2
594,2
595,2
596,0
597,0
598,1
599,1
600,0
601,2
602,1
603,2
604,2
605,0
606,1
607,1
608,0
609,0
610,1
611,1
612,0
613,1
614,0
615,0
616,1
617,2
618,0
619,0
620,0
621,2
622,1
623,1
624,2
625,0
626,0
627,0
628,0
629,1
630,0
631,0
632,0
633,2
634,0
635,0
636,1
637,0
638,1
639,0
640,1
641,0
642,0
643,0
644,0
645,0
646,1
647,2
648,1
649,1
650,0
651,0
652,0
653,2
654,1
655,0
656,2
657,1
658,0
659,1
660,1
661,2
662,0
663,0
664,2
665,1
666,1
667,0
668,1
669,0
670,1
671,0
672,2
673,0
674,0
675,0
676,0
677,2
678,0
679,1
680,2
681,2
682,0
683,1
684,2
685,0
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,2
695,0
696,0
697,0
698,0
699,1
700,1
701,1
702,1
703,2
704,0
705,1
706,0
707,1
708,0
709,1
710,0
711,1
712,0
713,1
714,2
715,1
716,2
717,2
718,0
719,1
720,1
721,0
722,0
723,0
724,2
725,2
726,0
727,0
728,0
729,1
730,1
731,1
732,1
733,1
734,2
735,0
736,0
737,2
738,2
739,0
